,texture,watermark,variance,skewness,kurtosis,entropy,target
0,"[33.86145715918732, 0.9817094614509959, 0.07918389210861108, 0.5237752953343964, 0.11111111111110003]","[0.00821699 0.01164152 0.00692737 0.01063993 0.01368245 0.01058493
 0.00758288 0.00884893 0.921875  ]",971.8256437869717,-2.7452452125737365,8.74328460721252,6.100333813767114,0.0
0,"[49.95329247139234, 0.9879858490962091, 0.056667545735510486, 0.4659148650241269, 0.11111111111109934]","[0.02008215 0.02936486 0.01580642 0.0345647  0.0557465  0.04866997
 0.02476245 0.02183963 0.74916332]",2238.5863639105505,-1.450701243118647,1.6086321305351268,7.06073292605606,0.0
0,"[52.712949096330746, 0.9892837637626051, 0.08247176384982001, 0.6497860464884224, 0.11111111111109523]","[0.01114553 0.02162386 0.01001702 0.02502401 0.0345535  0.03848273
 0.01929359 0.02049402 0.81936574]",2648.1029357058856,-1.5464837987221192,1.4294008372595615,6.95996402923894,0.0
0,"[91.5434920280879, 0.9824448383944829, 0.042330131276387614, 0.4240072666966024, 0.11111111111110192]","[0.02201076 0.03109305 0.02071742 0.03515725 0.03958495 0.04306937
 0.02883702 0.0289977  0.75053249]",2791.327995400646,-1.192011777501894,0.4646201158686929,7.267607648216034,0.0
0,"[32.26475615269109, 0.9906973868649288, 0.06559656187168773, 0.6072115431839797, 0.11111111111109759]","[0.01123297 0.01824703 0.011518   0.02695303 0.03065016 0.03908929
 0.02114853 0.01907102 0.82208997]",1889.6310522290269,-1.6239511639142756,2.2126394370580416,6.933601078089261,0.0
0,"[79.48382964444036, 0.9751492928037799, 0.06813886277085186, 0.6170187410731796, 0.1111111111110968]","[0.01087975 0.01485195 0.01009251 0.02247149 0.02645323 0.03149364
 0.01636529 0.01463154 0.85276061]",1745.4521712705698,-1.8044828224706737,3.127920151839464,6.860178342743718,0.0
0,"[33.71993646832809, 0.9935783894614308, 0.06390296602178955, 0.5854694118775281, 0.11111111111109769]","[0.01180428 0.02059182 0.01340663 0.03289823 0.04179975 0.04840643
 0.02426862 0.0216923  0.78513194]",2746.5399351591445,-1.4450618472548822,1.032091069885035,7.035737602961223,0.0
0,"[39.024676234421605, 0.991729781115262, 0.05862430430954782, 0.553103921180564, 0.11111111111109603]","[0.0171648  0.02811224 0.0148556  0.04370024 0.05594103 0.0700604
 0.03089686 0.02633693 0.71293189]",2913.9174430100993,-1.0893199204889479,0.4575123557507985,7.374746831412617,0.0
0,"[247.67714560871053, 0.9576727156150889, 0.03126041739062957, 0.31346209642687567, 0.11111111111110311]","[0.0187903  0.02841801 0.01821343 0.03420733 0.0414287  0.04040885
 0.0244556  0.02457506 0.76950271]",3076.0397554245196,-1.2657468754899768,0.590753084241888,7.27380144073668,0.0
0,"[199.08666931866006, 0.9646351025626054, 0.041145902039496814, 0.36702937472155905, 0.11111111111110288]","[0.01908786 0.02861561 0.01792691 0.03028914 0.03590292 0.03644926
 0.0237285  0.02599234 0.78200746]",2966.6036114998356,-1.3516768834857635,0.8608603883616208,7.216102023759859,0.0
